Utility Name,Fire Start Date,Fire Start Time,Fire Latitude,Fire Longitude,Materials at Origin,Land Use at Origin,Fire Size,Fire Suppressed by,Fire Supressing Agency,Facility Identification,Facility Contacted,Other Companies,Nominal Voltage,Equipment Type Associated to Ignition,Type Of Construction,Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,
PG&E,10/28/2020,17:00.0,36.5036,-121.932,Vegetation,Conifer Forest,0.26-9.99,Fire Agency,"Carmel Highlands and Cypress FPD, Pebble Beach CSD, Monterey Fire Department, and Cal Fire","Circuit ID: 182291102, SAP ID: 101758299",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,10/28/2020,15:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,10/27/2020,28:00.0,37.898,-121.766,Vegetation,Herbaceous,0.26-9.99,Fire Agency,East Contra Costa FD,Pole ID: 100496279,Pole,,21000,Pole,Overhead,Yes,10/27/2020,23:00.0,Contact - 3rd Party,,Contact - Vehicle,Pole,Contact - Vehicle,
PG&E,10/26/2020,38:00.0,37.6607,-122.424,Building,Urban,Structure-only,Fire Agency,South San Francisco FD,,,,12000,Service Drop,Overhead,Yes,10/26/2020,38:00.0,Under Investigation,,,,Splice/Clamp/Connector,
PG&E,10/24/2020,42:00.0,38.0103,-121.64,Vegetation,Herbaceous,<0.25,Fire Agency,Contra Costa FD,Pole ID: 103766880,,,21000,Insulator,Overhead,Yes,10/24/2020,28:00.0,Contamination,,,,Tracking,
PG&E,10/19/2020,37:00.0,40.3819,-122.452,Vegetation,,<3 meters of linear travel,Fire Agency,Cal Fire,"Circuit ID: 102931102, SAP Eqp ID: 101508692",,,12000,Service Drop,Overhead,Yes,10/19/2020,34:00.0,Equipment - PG&E,Service Drop,,,Veg. contact,
PG&E,10/15/2020,39:00.0,39.0272,-121.867,Vegetation,Agriculture,0.26-9.99,Fire Agency,Colusa FD,Pole ID: 103689220,,,12000,Splice/Clamp/Connector,Overhead,Yes,10/15/2020,34:00.0,Equipment - PG&E,Splice/Clamp/Connector,,,Splice/Clamp/Connector,
PG&E,10/15/2020,08:00.0,40.3236,-122.429,Vegetation,Hardwood Woodland,<3 meters of linear travel,Fire Agency,Cal Fire,"Circuit ID: 101511399, SAP Eqp ID: 101511399",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,10/15/2020,02:00.0,Contact - 3rd Party,,Contact - Vehicle,Electric Facility,Contact - Vehicle,
PG&E,9/28/2020,51:00.0,39.6531,-121.449,Vegetation,Conifer Forest,<0.25,Fire Agency,Cal Fire,Circuit ID: 103751102,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,9/28/2020,45:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,9/26/2020,16:00.0,39.1281,-121.639,,Urban,Unknown,Fire Agency,Yuba City Fire dept,101300049,,,12000,Insulator,Overhead,No,,,Equipment - PG&E,Insulator,,,Insulator failure,
PG&E,9/21/2020,05:00.0,39.4685,-121.577,,Urban,Unknown,Self Extinguished,Self Extinguished,100359938,,,12000,Pole,Overhead,Yes,9/21/2020,56:00.0,Equipment - PG&E,Pole,,,Pole failure,
PG&E,9/7/2020,26:00.0,37.9487,-122.52,Vegetation,Urban,<0.25,Fire Agency,Central Marin FD,Meter: 1007683605,Service Drop,,750,Service Drop,Overhead,Yes,9/7/2020,,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,8/24/2020,38:00.0,38.5657,-122.575,Vegetation,Hardwood Forest,<0.25,Fire Agency,Cal Fire,Circuit ID: 042711102,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,8/24/2020,34:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,8/19/2020,41:00.0,39.0892,-121.116,Vegetation,Herbaceous,<0.25,Fire Agency,Cal Fire,Circuit ID: 152691109,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,8/19/2020,01:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,8/14/2020,45:00.0,37.9842,-122.076,Other,Urban,<3 meters of linear travel,Fire Agency,Contra Costa County FD,CGC: 315460554426,,,21000,Transformer,Padmounted,Yes,8/14/2020,45:00.0,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,8/14/2020,02:00.0,36.9667,-121.539,Vegetation,Urban,<0.25,Fire Agency,Cal Fire,CGC: 316964717187; Circuit ID: 083182104 ,,,21000,Transformer,Overhead,Yes,8/14/2020,29:00.0,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,8/3/2020,38:00.0,37.3945,-122.006,Vegetation,Urban,<3 meters of linear travel,Self Extinguished,Self Extinguished,83421109,Riser,,12000,Riser,Overhead,No,,,Contact - 3rd Party,,Contact - Balloon,Electric Facility,Contact - Balloon,
PG&E,8/2/2020,37:00.0,35.8249,-120.545,Vegetation,Hardwood Woodland,0.26-9.99,Fire Agency,Cal Fire,Circuit ID: 182661104 ,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,8/2/2020,38:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/28/2020,37:00.0,35.5317,-120.729,Vegetation,Hardwood Woodland,<0.25,Fire Agency,Cal Fire,"Circuit ID: 183052111, SAP ID: 101891740",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,7/28/2020,31:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/25/2020,25:00.0,40.1613,-122.298,Vegetation,Herbaceous,<0.25,Fire Agency,Cal Fire,Circuit ID: 103541103,Conductor - Secondary,,750,Conductor - Secondary,Overhead,Yes,7/25/2020,10:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/5/2020,45:00.0,37.5229,-122.348,,Urban,Unknown,Unknown,Unknown FD,100302414,,,12000,Transformer,Overhead,No,,,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,7/3/2020,10:00.0,39.7622,-121.882,Vegetation,Urban,<0.25,Unknown,Unknown,"Circuit ID: 103071106, SAP ID: 100350713, 100438637",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,7/3/2020,01:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/2/2020,00:00.0,40.3396,-123.871,Vegetation,Conifer Forest,<0.25,Self Extinguished,Self Extinguished,Circuit ID: 192311141,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,7/2/2020,01:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/30/2020,24:00.0,38.0842,-121.151,,Agriculture,0.26-9.99,Fire Agency,LINDEN AND PETERS FD,102102126,,,21000,Transformer,Overhead,Yes,6/30/2020,17:00.0,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,6/24/2020,37:00.0,36.2092,-120.301,Vegetation,Desert Shrub,<3 meters of linear travel,Unknown,Unknown,,Conductor - All,,12000,Conductor - All,Overhead,Yes,6/23/2020,49:00.0,Contact - 3rd Party,,Contact - Vehicle,Electric Facility,Contact - Vehicle,
PG&E,6/22/2020,27:00.0,38.5271,-122.796,Vegetation,Urban,0.26-9.99,Fire Agency,Windsor FD,103838589,Conductor - Racked Secondary,,750,Conductor - Racked Secondary,Overhead,Yes,6/22/2020,23:00.0,Contact - Animal - Bird,,Contact - Animal,Electric Facility,Contact - Animal,
PG&E,6/22/2020,21:00.0,35.3396,-119.151,Other,Agriculture,Unknown,Unknown,,,Pole,,21000,Pole,Overhead,No,,,Contact - Animal - Nest,,Contact - Nest,Pole,Contact - Nest,
PG&E,6/21/2020,30:00.0,37.6837,-122.481,Building,Urban,Structure-only,Fire Agency,North County Fire Authority,Meter: 1005040526,,,750,Conductor - Underground Service,Underground,No,,,Equipment - PG&E,Conductor - Underground Service,,,Conductor failure-all,
PG&E,6/16/2020,58:00.0,38.5568,-122.454,Vegetation,Conifer Forest,<0.25,Fire Agency,Cal Fire,"Circuit ID: 043432104, SAP ID: 103160535",Service Drop,,750,Service Drop,Overhead,Yes,6/16/2020,57:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/15/2020,56:00.0,35.0092,-119.068,Other,Herbaceous,Unknown,Utility,PG&E Employee,100221433,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,6/15/2020,55:00.0,Contact - 3rd Party,,Other,Electric Facility,Other,
PG&E,6/10/2020,15:00.0,38.5844,-122.661,Vegetation,Hardwood Forest,0.26-9.99,Fire Agency,Cal Fire,"Circuit ID: 042711101, SAP ID: 102220153",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,6/10/2020,10:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/10/2020,09:00.0,38.5462,-122.35,Vegetation,Hardwood Forest,0.26-9.99,Fire Agency,Cal Fire,"Circuit ID: 043432104, SAP ID: 102262620, 102262624, 102262626",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,6/10/2020,30:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/4/2020,45:00.0,38.7167,-121.752,Vegetation,Agriculture,<0.25,Fire Agency,Woodland FD,Circuit ID: 062031108,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,6/4/2020,41:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/1/2020,53:00.0,39.3048,-121.85,Vegetation,Hardwood Woodland,<0.25,Fire Agency,Sutter County FD,Circuit ID: 153771104 ,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,6/1/2020,48:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,5/21/2020,59:00.0,36.6594,-121.613,,Urban,0.26-9.99,Fire Agency,Salinas FD,182261104,,,12000,Fuse,Overhead,No,,,Equipment - PG&E,Fuse,,,Fuse failure - all,
PG&E,5/20/2020,35:00.0,38.8961,-121.219,Vegetation,Hardwood Woodland,<0.25,Unknown,Unknown,"Circuit ID: 153701101, SAP ID: 100043460",Fuse,,12000,Fuse,Overhead,Yes,5/20/2020,33:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,5/12/2020,49:00.0,37.2798,-122.206,Vegetation,Hardwood Woodland,<0.25,Fire Agency,Cal Fire,Circuit ID: 024131103,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,5/12/2020,37:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,5/11/2020,57:00.0,37.5063,-122.21,,Urban,Unknown,Unknown,,024261103 ,,,12000,Conductor - All,,No,,,Unknown,,,,,
PG&E,5/6/2020,39:00.0,35.4152,-120.58,,Hardwood Woodland,<0.25,Unknown,Unknown,101889816,,,750,Service Connector,Overhead,No,,,Wire-Wire Contact,,,,Weather - High Winds,
PG&E,4/29/2020,26:00.0,38.5402,-122.586,Vegetation,Hardwood Forest,<0.25,Fire Agency,Cal Fire,Circuit ID: 042711101,Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,4/29/2020,24:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,3/12/2020,08:00.0,40.0679,-122.191,Other,Agriculture,Unknown,Unknown,Unknown,103391102,Conductor - Primary,,12000,Conductor - Primary,Overhead,No,,,Contact - 3rd Party,,Contact - Vehicle,Electric Facility,Contact - Vehicle,
PG&E,3/8/2020,33:00.0,35.8764,-119.645,Vegetation,Barren/Other,Unknown,Unknown,,252151103,Conductor - All,,12000,Conductor - All,Overhead,No,,,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,2/9/2020,34:00.0,36.8801,-121.63,Vegetation,Hardwood Woodland,0.26-9.99,Fire Agency,Aromas Tri-County Fire Protection District,Circuit ID: 182742104 ,Conductor - Primary,,21000,Conductor - Primary,Overhead,Yes,2/9/2020,09:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,2/9/2020,19:00.0,38.5468,-121.742,,Urban,Unknown,Unknown,,2.21E+11,,,12000,Jumper,Overhead,Yes,2/9/2020,58:00.0,Equipment - PG&E,Jumper,,,Transformer failure,
PG&E,12/27/2019,42:12.0,37.3502,-121.817,,Urban,<3 meters of linear travel,Unknown,,100579015,,Yes,11000,Pole,Overhead,Yes,12/27/2019,42:12.0,Equipment - PG&E,Pole,,,Equipment failure - Other,
PG&E,11/26/2019,26:20.0,39.1158,-121.064,,Hardwood Forest,Unknown,Unknown,,103566857,Conductor - Open Wire Secondary,No,11000,Conductor - Open Wire Secondary,Overhead,Yes,11/26/2019,26:20.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,11/20/2019,10:00.0,37.7301,-122.391,Building,Urban,Structure-only,Fire Agency,SF FD,22331103,,Yes,12000,Conductor,Overhead,No,,,Equipment - PG&E,Conductor,,,All types of equipment / facility failure,
PG&E,11/1/2019,46:00.0,38.5794,-122.6,,Hardwood Woodland,<3 meters of linear travel,Unknown,,,Service Drop,No,11000,Service Drop,Overhead,Yes,11/1/2019,46:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,10/31/2019,38:00.0,38.6009,-122.6,,Hardwood Forest,<3 meters of linear travel,Unknown,,,Conductor - Primary,No,11000,Conductor - Primary,Overhead,Yes,10/31/2019,38:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,10/27/2019,01:26.0,39.2285,-121.033,,Shrub,Unknown,Unknown,,2061,,No,11000,Pole,Overhead,Yes,10/27/2019,01:26.0,Equipment - PG&E,Pole,,,Switch failure,
PG&E,10/27/2019,05:00.0,38.075,-122.229,Vegetation,Urban,Unknown,Fire Agency,Vallejo FD,102264701,,No,12000,Insulator,Overhead,No,,,Equipment - PG&E,Insulator,,,All types of equipment / facility failure,
PG&E,10/27/2019,10:00.0,38.0148,-121.641,Vegetation,Urban,Unknown,Fire Agency,East Contra County Fire Protection District,14592112,,Yes,21000,Conductor,Overhead,No,,,Equipment - PG&E,Conductor,,,All types of equipment / facility failure,
PG&E,10/17/2019,16:36.0,35.3614,-119.03,,Urban,<0.25,Fire Agency,Kern County Fire,100249221,Pole,No,11000,Pole,Overhead,Yes,10/17/2019,16:36.0,Contact - 3rd Party,,Vandalism,Pole,Vandalism,
PG&E,10/11/2019,46:48.0,38.4826,-120.519,,Rural,,Unknown,,,,,11000,,,Yes,10/11/2019,46:48.0,,,,,,
PG&E,10/2/2019,16:42.0,38.4306,-122.812,,Urban,0.26-9.99,Unknown,,042571103 ,Conductor,No,11000,Conductor,Overhead,No,,,Contact - Animal - Bird,,Contact - Animal,Electric Facility,Contact - Animal,
PG&E,9/23/2019,01:00.0,38.5495,-122.472,,Agriculture,<3 meters of linear travel,Unknown,,,Conductor - Primary,No,21000,Conductor - Primary,Overhead,Yes,9/23/2019,01:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,9/16/2019,29:37.0,38.3314,-120.519,,Conifer Forest,<0.25,Fire Agency,Central Calaveras FD & Calfire,101273617,Conductor,Yes,11000,Conductor,Overhead,Yes,9/16/2019,29:37.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,9/7/2019,00:00.0,37.7985,-121.521,Vegetation,Agriculture,<0.25,Fire Agency,Tracy FD,103114230,,No,12000,Conductor,Overhead,No,,,Equipment - PG&E,Conductor,,,All types of equipment / facility failure,
PG&E,8/5/2019,51:53.0,37.8547,-122.479,,Urban,<0.25,Fire Agency,South Marin Fire Department,Meter: 1007064706,,Yes,11000,Service Drop,Overhead,Yes,8/5/2019,51:53.0,Equipment - PG&E,Service Drop,,,Conductor failure-all,
PG&E,7/28/2019,24:00.0,36.6257,-119.685,,Agriculture,<0.25,Unknown,,,Conductor - Primary,No,11000,Conductor - Primary,Overhead,Yes,7/28/2019,24:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,7/27/2019,15:42.0,40.398,-122.181,,Agriculture,<3 meters of linear travel,Unknown,,1006772615,Conductor - Open Wire Secondary,No,11000,Conductor - Open Wire Secondary,,Yes,7/27/2019,15:42.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/19/2019,15:00.0,36.7431,-119.702,Vegetation,Urban,Unknown,Fire Agency,Fresno FD,253571111,Conductor - All,Yes,12000,Conductor - All,Overhead,No,,,Contact - Customer (Equip/Structure/Veg),,Contact from object,Electric Facility,Contact from object,
PG&E,7/18/2019,45:11.0,38.0482,-122.135,,Herbaceous,<3 meters of linear travel,Fire Agency,Benicia Fire Dept,43251103,,Yes,11000,Conductor,Overhead,Yes,7/18/2019,45:11.0,Equipment - PG&E,Conductor,,,Conductor failure-all,
PG&E,7/3/2019,53:59.0,38.3232,-122.508,,Urban,0.26-9.99,Unknown,,43071102,Conductor,Yes,11000,Conductor,Overhead,Yes,7/3/2019,53:59.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/27/2019,02:11.0,38.07,-122.129,,Urban,<3 meters of linear travel,Unknown,,"103058842, 102287312",,Yes,11000,Conductor,Overhead,Yes,6/27/2019,02:11.0,Wire-Wire Contact,,,,,
PG&E,6/8/2019,10:42.0,39.09,-121.55,,Urban,<3 meters of linear travel,Fire Agency,olivehurst fire dept.,152901102,Transformer,Yes,11000,Transformer,Overhead,Yes,6/8/2019,10:42.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,6/6/2019,21:32.0,35.1331,-119.478,,Urban,<0.25,Unknown,,100222333,,Yes,11000,Pole,Overhead,Yes,6/6/2019,21:32.0,Wire-Wire Contact,,,,Balloon contact,
PG&E,5/3/2019,11:43.0,36.5,-119.539,,Agriculture,<0.25,Fire Agency,Tulare Fire Dept.,100894245,,Yes,11000,Pole,Overhead,Yes,5/3/2019,11:43.0,Equipment - PG&E,Pole,,,Fuse failure - all,
PG&E,1/9/2019,27:26.0,37.6495,-122.493,,Urban,<3 meters of linear travel,Fire Agency,San Mateo County,22811102,,No,11000,Service Connector,Overhead,Yes,1/9/2019,27:26.0,Equipment - PG&E,Service Connector,,,Service Neutral failure,
PG&E,1/4/2019,24:55.0,35.9278,-119.432,,Agriculture,<3 meters of linear travel,Unknown,,100669465,,,11000,Capacitor Bank,Overhead,No,,,Equipment - PG&E,Capacitor Bank,,,Capacitor bank failure,
PG&E,11/21/2018,33:45.0,36.9663,-120.056,,Urban,<3 meters of linear travel,Unknown,,101216828,,No,11000,Insulator,Overhead,Yes,11/21/2018,33:45.0,Equipment - PG&E,Insulator,,,Equipment failure - Other,
PG&E,11/10/2018,05:11.0,37.9625,-122.082,,Urban,<3 meters of linear travel,Unknown,,100459773,,Yes,21000,Conductor,Overhead,Yes,11/10/2018,05:11.0,Equipment - PG&E,Conductor,,,Conductor failure-all,
PG&E,10/24/2018,17:56.0,37.9475,-120.267,,Hardwood Forest,<0.25,Unknown,,101047866,,No,17000,Jumper,Overhead,Yes,10/24/2018,17:56.0,Equipment - PG&E,Jumper,,,Equipment failure - Other,
PG&E,10/16/2018,45:45.0,40.5105,-124.161,,Hardwood Forest,<3 meters of linear travel,Fire Agency,Cal Fire Fortuna,101004121,Conductor,No,11000,Conductor,Overhead,Yes,10/16/2018,45:45.0,Contact - 3rd Party,,Contact - Vehicle,Electric Facility,Contact - Vehicle,
PG&E,10/14/2018,20:00.0,39.2452,-121.158,,Conifer Forest,<3 meters of linear travel,Unknown,,,Conductor - Primary,No,21000,Conductor - Primary,Overhead,Yes,10/14/2018,20:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,9/27/2018,45:00.0,38.5925,-122.579,Vegetation,Hardwood Woodland,0.26-9.99,Unknown,,42711101,,Yes,12000,Conductor,Overhead,No,,,Equipment - PG&E,Conductor,,,All types of equipment / facility failure,
PG&E,9/24/2018,35:00.0,39.8152,-121.644,Vegetation,Hardwood Woodland,<0.25,Unknown,,SAP Equip Rec #:  42578837,Conductor - All,No,12000,Conductor - All,Overhead,No,,,Contact - Animal - Other,,Contact - Animal,Electric Facility,Contact - Animal,
PG&E,9/16/2018,26:00.0,35.2962,-120.63,Vegetation,Shrub,Unknown,Unknown,,182631101 ,,No,12000,Conductor - Transmission,Overhead,No,,,Equipment - PG&E,Conductor - Transmission,,,All types of equipment / facility failure,
PG&E,9/14/2018,08:25.0,35.3241,-120.752,,Barren/Other,<0.25,Fire Agency,Cal Fire,T4315,,Unknown,11000,Fuse,Overhead,Yes,9/14/2018,08:25.0,Equipment - PG&E,Fuse,,,Fuse failure - all,
PG&E,9/12/2018,,37.2711,-122.022,,Urban,Structure-PG&E only,Unknown,,83371107,Conductor - Open Wire Secondary,Yes,12000,Conductor - Open Wire Secondary,Overhead,No,,,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,9/2/2018,36:53.0,37.4704,-122.429,,Urban,0.26-9.99,Fire Agency,CAl-Fire,024101101 ,,No,11000,Capacitor Bank,Overhead,Yes,9/2/2018,36:53.0,Equipment - PG&E,Capacitor Bank,,,Fuse failure - all,
PG&E,8/28/2018,46:21.0,35.3194,-119.129,,Urban,Unknown,Unknown,,,,,21000,,,Yes,8/28/2018,46:21.0,Unknown,,,,Unknown,
PG&E,8/18/2018,20:47.0,37.3183,-121.994,,Urban,Unknown,Fire Agency,San Jose Fire Department,3.16E+11,,Yes,11000,Transformer,Overhead,Yes,8/18/2018,20:47.0,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,8/4/2018,04:00.0,37.3394,-122.093,,Hardwood Woodland,<0.25,Unknown,,,Crossarm,No,11000,Crossarm,Overhead,Yes,8/4/2018,04:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,8/2/2018,02:00.0,40.7511,-121.972,,,<3 meters of linear travel,Fire Agency,ILB crew present,010/222,,No,,Grounding Wire,Overhead,No,,,Utility work / Operation,,,,,
PG&E,7/26/2018,21:59.0,39.2538,-122.471,,Hardwood Woodland,0.26-9.99,Unknown,,Pole ID: 103920565,Pole,No,11000,Pole,Overhead,Yes,7/26/2018,21:59.0,Vegetation,,Veg. contact,Pole,Contact - Vegetation,
PG&E,7/26/2018,23:00.0,39.3011,-122.494,Vegetation,Agriculture,Unknown,Unknown,,100414232,Transformer,No,12000,Transformer,Overhead,No,,,Vegetation,,Veg. contact,Electric Facility,Contact from object,
PG&E,7/25/2018,19:28.0,37.2555,-121.009,,Urban,<3 meters of linear travel,Customer,Homeowner,Meter: 1003825125,Service Connector,Yes,11000,Service Connector,Overhead,Yes,7/25/2018,19:28.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,7/21/2018,54:00.0,36.7303,-119.807,,Urban,<0.25,Unknown,,,Conductor - Primary,No,11000,Conductor - Primary,Overhead,Yes,7/21/2018,54:00.0,Vegetation,,Veg. contact,Electric Facility,Veg. contact,
PG&E,7/19/2018,03:48.0,38.8088,-121.891,,Agriculture,<0.25,Fire Agency,Suisun Fire Department,2.20E+11,,No,11000,Transformer,Overhead,Yes,7/19/2018,03:48.0,Equipment - PG&E,Transformer,,,Transformer failure,
PG&E,7/5/2018,09:03.0,39.7786,-121.87,,Urban,<3 meters of linear travel,Customer,Customer ,103071105,,Yes,11000,Pole,Overhead,Yes,7/5/2018,09:03.0,Equipment - PG&E,Pole,,,Splice/Clamp/Connector,
PG&E,7/2/2018,01:37.0,37.8569,-120.985,,Herbaceous,<0.25,Fire Agency,San Joaquin County FD,S2689 ,,Yes,17000,Pothead,Overhead,Yes,7/2/2018,01:37.0,Equipment - PG&E,Pothead,,,Insulator failure,
PG&E,6/22/2018,44:22.0,37.2483,-119.562,,Hardwood Woodland,0.26-9.99,Unknown,,CGC: 322734527317 ,,Yes,11000,Service Connector,Overhead,Yes,6/22/2018,44:22.0,Equipment - PG&E,Service Connector,,,Splice/Clamp/Connector,
PG&E,6/22/2018,16:20.0,37.7106,-121.931,,Urban,<3 meters of linear travel,Fire Agency,ALCO FD,100909602,,Yes,21000,Guy/Span Wire,Overhead,Yes,6/22/2018,16:20.0,Equipment - PG&E,Guy/Span Wire,,,Guy/Span Wire failure,
PG&E,6/16/2018,18:52.0,37.0737,-120.192,,Urban,<0.25,Fire Agency,CDF,101133603,,Yes,11000,Conductor - Primary,Overhead,Yes,6/16/2018,18:52.0,Equipment - PG&E,Conductor - Primary,,,Equipment failure - Other,
